Country,Constitutional protection,Statutory protectio,Privacy Enforcemen,Identity Cards and Biometric,Data-sharing,Visual surveillanc,Communication interception,Communication Data Retention,Government Access to Data,Workplace monitorin,"Surveillance of Medical, Financial, and Movemen",Border and trans-border issue,Leadership,Democratic safeguards,Total
GR,4,3,4,3,-,3,1,-,3,-,3,-,4,3,3.1
RO,3,3,4,-,-,-,2,3,2,-,-,-,2,4,2.9
HU,4,4,4,4,3,1,1,4,3,2,2,3,1,4,2.9
SI,4,4,4,2,3,4,2,1,2,4,2,-,2,3,2.8
PT,4,4,3,2,2,2,2,-,-,3,3,-,2,4,2.8
LU,2,3,3,3,2,-,2,3,-,4,4,-,1,4,2.8
DE,4,4,4,2,4,2,2,1,3,2,4,2,1,4,2.8
IT,4,4,4,2,-,3,1,1,2,4,2,3,3,3,2.8
EE,3,3,4,2,-,-,2,-,3,-,3,-,2,3,2.8
BE,4,4,4,1,1,-,2,2,3,4,3,2,1,4,2.7
CZ,4,3,4,2,1,2,1,2,2,3,2,2,3,4,2.5
FI,3,3,3,2,1,-,3,3,2,2,2,2,2,4,2.5
IE,2,3,4,2,2,-,3,1,2,3,3,2,1,4,2.5
MT,2,4,3,-,-,-,2,-,2,-,-,-,2,2,2.4
PL,3,4,3,1,3,2,1,1,2,-,2,-,3,3,2.3
ES,3,4,4,1,-,2,1,2,2,3,1,-,1,4,2.3
AT,2,3,2,2,1,2,2,4,2,-,3,2,1,4,2.3
CY,3,3,3,2,-,2,1,-,-,-,2,2,2,3,2.3
EU,3,2,3,2,2,-,-,1,2,-,3,2,2,3,2.3
LV,3,2,2,2,2,-,2,-,2,3,2,2,2,3,2.2
NL,2,4,4,1,1,2,1,1,2,3,2,2,1,4,2.1
SK,4,3,3,1,-,-,2,1,1,-,2,-,2,2,2.1
SE,3,2,3,3,2,3,2,1,1,1,1,2,1,4,2.1
DK,3,2,2,4,1,3,2,1,1,-,1,1,2,3,2
BG,3,2,3,1,-,-,1,2,2,-,2,-,2,2,2
LT,3,3,2,1,-,1,1,3,-,1,-,-,2,3,2
FR,3,2,3,2,1,2,2,1,1,-,2,1,1,4,1.9
GB,1,2,2,1,1,1,1,1,2,2,1,1,1,3,1.4
England & Wales,1,2,2,1,1,1,-,-,2,-,1,-,1,2,1.4
Scotland,1,2,2,3,3,2,-,-,3,-,2,-,3,4,2.5
CA,4,4,2,2,2,2,3,4,3,3,2,2,3,4,2.9
AR,4,4,2,-,2,-,2,2,-,-,2,-,4,3,2.8
IS,4,4,4,2,3,2,3,2,2,3,2,1,2,4,2.7
CH,4,4,2,2,2,1,2,2,2,-,2,1,3,4,2.4
NZ,2,2,3,3,2,-,1,3,2,2,2,-,2,4,2.3
ZA,4,1,1,2,2,-,2,1,-,-,4,2,-,4,2.3
JP,3,1,1,2,2,2,3,4,3,-,3,1,1,3,2.2
AU,1,2,2,3,2,-,2,4,2,3,1,1,2,3,2.2
IL,4,3,3,2,2,2,2,2,1,-,1,1,2,3,2.2
BR,3,2,1,2,2,2,2,2,2,3,1,2,3,3,2.1
NO,3,2,3,2,1,2,2,2,2,3,1,1,2,4,2.1
IN,3,1,1,-,-,-,1,-,1,-,2,-,2,4,1.9
PH,3,2,1,1,-,-,1,2,1,-,2,-,2,3,1.8
US,3,1,1,1,2,1,1,3,2,1,1,1,1,2,1.5
TH,2,2,2,1,-,2,1,2,1,-,1,-,2,1,1.5
TW,2,2,1,1,-,-,1,3,2,-,1,1,1,2,1.5
SG,1,1,1,1,2,1,1,3,1,1,3,2,1,1,1.4
RU,3,2,1,2,1,-,1,1,1,-,1,1,1,1,1.3
CN,2,2,1,2,1,1,1,1,1,-,2,-,1,1,1.3
MY,1,2,1,1,1,1,1,3,1,-,1,1,2,1,1.3
